team,game_idx,predicted_wins,ci_margin
BOS,44,56.58063690266445,5.2900703841973105
BOS,45,56.853000479585646,5.21761535655684
BOS,46,57.06301821010554,5.156175817824449
BOS,47,57.43193522961868,5.068703809472755
BOS,48,57.70906886285863,4.992210767002286
BOS,49,57.229974807112384,4.895247424403275
BOS,50,56.45809998273123,4.825660860950248
BOS,51,55.64487380896318,4.764819468133995
BOS,52,55.92859413274621,4.682179267882533
BOS,53,56.11215283344596,4.620290216102157
BOS,54,55.37210508273867,4.53960856248035
BOS,55,55.66870455866744,4.450458370150318
BOS,56,55.78414645035238,4.4061655081078115
BOS,57,56.07614326904171,4.315101684937246
BOS,58,56.67538947482146,4.206844610749496
BOS,59,55.76708006712661,4.168644859372225
BOS,60,56.07553509575357,4.06917021698479
BOS,61,56.66008245390478,3.952873258044508
