date,season,playoff,team1,team2,elo1_pre,elo2_pre
1980-11-05,1981,,PHI,DET,1650.7405,1295.7811
1980-11-05,1981,,SAS,PHO,1535.9854,1675.8993
1980-11-05,1981,,SEA,DEN,1537.1464,1433.4917
1980-11-06,1981,,UTA,CLE,1438.0968,1449.4626
1980-11-06,1981,,WSB,DAL,1457.9575,1272.0752
1980-11-07,1981,,BOS,MIL,1644.4808,1641.1537
1980-11-07,1981,,CHI,ATL,1457.0419,1499.1997
1980-11-07,1981,,DAL,LAL,1267.6146,1684.0181
1980-11-07,1981,,DEN,NYK,1450.0557,1507.6101
1980-11-07,1981,,PHI,KCK,1651.3704,1506.8392
1980-11-07,1981,,POR,GSW,1464.6986,1450.752
1980-11-07,1981,,SEA,SDC,1520.5824,1413.6337
1980-11-07,1981,,WSB,DET,1462.4181,1295.1512
1980-11-08,1981,,CHI,DEN,1461.5038,1438.7548
1980-11-08,1981,,DET,DAL,1289.4088,1263.4753
1980-11-08,1981,,GSW,IND,1444.6564,1503.1921
1980-11-08,1981,,HOU,PHO,1451.714,1650.7297
1980-11-08,1981,,KCK,CLE,1502.022,1439.6132
1980-11-08,1981,,NJN,ATL,1421.6674,1494.7378
1980-11-08,1981,,POR,SDC,1470.7942,1407.3127
1980-11-08,1981,,SAS,LAL,1561.1549,1688.1573
1980-11-08,1981,,UTA,NYK,1447.9463,1518.911
1980-11-09,1981,,BOS,CHI,1638.8016,1452.1112
1980-11-09,1981,,MIL,PHI,1646.8329,1656.1876
1980-11-10,1981,,UTA,IND,1438.6154,1496.0167
1980-11-11,1981,,ATL,LAL,1489.0258,1682.0001
1980-11-11,1981,,CHI,PHI,1450.085,1674.4073
1980-11-11,1981,,CLE,MIL,1436.1013,1628.6132
1980-11-11,1981,,DAL,HOU,1251.1443,1449.0081
1980-11-11,1981,,NYK,DET,1528.2419,1301.7399
1980-11-11,1981,,POR,KCK,1460.3268,1505.5338
1980-11-11,1981,,SAS,IND,1567.3121,1491.9142
1980-11-11,1981,,SDC,PHO,1417.7802,1653.4355
1980-11-11,1981,,WSB,DEN,1468.1605,1448.1473
